,YEAR,STATE,EVENT_TYPE,TOTAL DEATHS,TOTAL INJURIES,TOTAL DAMAGES,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_CZ_STATE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_ID,EVENT_ID
184,2022,TEXAS,Thunderstorm Wind,1,0,0.0,NWS Storm Survey,87.0,EG,,,,,WHITEHOUSE,32.2198,-95.2224,32.2198,-95.2224,166899,1010118
185,2022,ARIZONA,Heat,1,0,0.0,County Official,,,,,,,,,,,,185960,1141408
186,2022,TEXAS,Tornado,1,11,0.0,NWS Storm Survey,,,EF2,2.38,150.0,OK,CEDAR MILLS,33.8407,-96.8192,33.8695,-96.7966,167427,1014168
187,2022,TEXAS,Tornado,0,1,100000.0,NWS Storm Survey,,,EF2,8.62,1000.0,,HENDERSON,32.1763,-94.7395,32.2396,-94.6142,168994,1031937
188,2022,WEST VIRGINIA,Flash Flood,1,0,900000.0,Emergency Manager,,,,,,,WEST HUNTINGTON,38.3943,-82.484,38.3378,-82.3981,167619,1029928
189,2022,MISSISSIPPI,Thunderstorm Wind,0,1,100000.0,Emergency Manager,55.0,EG,,,,,EAGLE BEND,32.5299,-91.0278,32.5299,-91.0278,169792,1028766
190,2022,OHIO,Lightning,1,0,0.0,Broadcast Media,,,,,,,SIDNEY,40.2875,-84.1816,40.2875,-84.1816,170681,1062580
191,2022,NEVADA,Heat,2,0,0.0,County Official,,,,,,,,,,,,169447,1026387
192,2022,CALIFORNIA,Heat,1,0,0.0,Broadcast Media,,,,,,,,,,,,170259,1032158
193,2022,KANSAS,Hail,0,1,0.0,Public,2.75,,,,,,LEOTI,38.49,-101.36,38.49,-101.36,167595,1020055
194,2022,PUERTO RICO,Flash Flood,1,1,5000.0,Emergency Manager,,,,,,,JUNCOS,18.2313,-65.9085,18.2314,-65.9081,175844,1067570
195,2022,ARIZONA,Lightning,0,1,75000.0,Fire Department/Rescue,,,,,,,SAHUARITA,31.9927,-110.976,31.9927,-110.976,172677,1048682
